school_name,rating,n_reviews,nces_name_plus_zipcode,state_name_public_school_latest_available_year,state_name_public_school_2020_21,state_abbr_public_school_latest_available_year,school_name_public_school_2020_21,school_id_nces_assigned_public_school_latest_available_year,agency_name_public_school_2020_21,agency_id_nces_assigned_public_school_latest_available_year,location_address_1_public_school_2020_21,location_address_2_public_school_2020_21,location_address_3_public_school_2020_21,location_zip_public_school_2020_21,school_type_public_school_2020_21,agency_type_district_2020_21,start_of_year_status_public_school_2020_21,updated_status_public_school_2020_21,effective_date_of_updated_status_public_school_2020_21,charter_school_public_school_2020_21,magnet_school_public_school_2020_21,locale_public_school_2020_21,school_wide_title_i_public_school_2020_21,title_i_eligible_school_public_school_2020_21,title_i_school_status_public_school_2020_21,latitude_public_school_2020_21,longitude_public_school_2020_21,state_school_id_public_school_2020_21,state_agency_id_public_school_2020_21,national_school_lunch_program_public_school_2020_21,virtual_school_status_sy_2016_17_onward_public_school_2020_21,charter_authorizer_state_id_primary_public_school_2020_21,school_level_sy_2017_18_onward_public_school_2020_21,lowest_grade_offered_public_school_2020_21,highest_grade_offered_public_school_2020_21,total_students_all_grades_excludes_ae_public_school_2020_21,american_indian_alaska_native_students_public_school_2020_21,asian_or_asian_pacific_islander_students_public_school_2020_21,hispanic_students_public_school_2020_21,black_or_african_american_students_public_school_2020_21,white_students_public_school_2020_21,nat_hawaiian_or_other_pacific_isl_students_public_school_2020_21,two_or_more_races_students_public_school_2020_21,full_time_equivalent_fte_teachers_public_school_2020_21,pupil_teacher_ratio_public_school_2020_21
ADAMS ELEMENTARY,4,25,ADAMS ELEMENTARY 27511,North Carolina,NORTH CAROLINA,NC,Adams Elementary,370472001826,Wake County Schools,3704720,805 Cary Towne Blvd,†,†,27511,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.7769,-78.762200000000007,NC-920-304,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,536,3,29,127,107,242,"=""0""",28,40.45,13.25
ADVANCE ACADEMY,5,2,ADVANCE ACADEMY 27536,North Carolina,NORTH CAROLINA,NC,AdVance Academy,370465001993,Vance County Schools,3704650,219 Charles Street,†,†,27536,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.327653,-78.399392,NC-910-368,NC-910,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,6th Grade,12th Grade,197,1,"=""0""",22,146,19,"=""0""",9,12.50,15.76
AHOSKIE ELEMENTARY,4,3,AHOSKIE ELEMENTARY 27910,North Carolina,NORTH CAROLINA,NC,Ahoskie Elementary,370216000931,Hertford County Schools,3702160,200 N Talmage St,†,†,27910,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.291554,-76.995089,NC-460-308,NC-460,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,4th Grade,5th Grade,236,4,4,6,182,34,1,5,17.00,13.88
ALAMANCE ELEMENTARY,4.8,14,ALAMANCE ELEMENTARY 27406,North Carolina,NORTH CAROLINA,NC,Alamance Elementary,370192000814,Guilford County Schools,3701920,3600 Williams Dairy Road,†,†,27406,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,36.0177,-79.7086,NC-410-304,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,453,8,14,34,90,278,"=""0""",29,31.11,14.56
ALBEMARLE HIGH,2.5,2,ALBEMARLE HIGH 28001,North Carolina,NORTH CAROLINA,NC,Albemarle High,370432000022,Stanly County Schools,3704320,311 Park Ridge Road,†,†,28001,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.371228,-80.193145,NC-840-302,NC-840,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,335,"=""0""",11,41,153,98,"=""0""",32,27.56,12.16
ALBEMARLE MIDDLE,5,1,ALBEMARLE MIDDLE 28001,North Carolina,NORTH CAROLINA,NC,Albemarle Middle,370432000023,Stanly County Schools,3704320,1811 Badin Road,†,†,28001,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.3537,-80.1684,NC-840-303,NC-840,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,393,2,15,46,178,113,"=""0""",39,31.67,12.41
ALBEMARLE ROAD ELEMENTARY,4,29,ALBEMARLE ROAD ELEMENTARY 28212,North Carolina,NORTH CAROLINA,NC,Albemarle Road Elementary,370297001186,Charlotte-Mecklenburg Schools,3702970,7800 Riding Trail Rd,†,†,28212,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.1971,-80.7295,NC-600-300,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,795,"=""0""",119,424,227,17,2,6,57.85,13.74
ALBEMARLE ROAD MIDDLE,3.2,39,ALBEMARLE ROAD MIDDLE 28212,North Carolina,NORTH CAROLINA,NC,Albemarle Road Middle,370297001187,Charlotte-Mecklenburg Schools,3702970,6900 Democracy Drive,†,†,28212,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.198649,-80.729013,NC-600-301,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,951,3,83,479,325,45,1,15,65.50,14.52
ALBERT H BANGERT ELEMENTARY,3.3,4,ALBERT H BANGERT ELEMENTARY 28562,North Carolina,NORTH CAROLINA,NC,Albert H Bangert Elementary,370331000380,Craven County Schools,3703310,3712 Canterbury Road,†,†,28562,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,35.0832,-77.0834,NC-250-304,NC-250,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,413,"=""0""",36,32,109,211,"=""0""",25,28.00,14.75
ALDERMAN ROAD ELEMENTARY,3.5,11,ALDERMAN ROAD ELEMENTARY 28306,North Carolina,NORTH CAROLINA,NC,Alderman Road Elementary,370001100414,Cumberland County Schools,3700011,2860 Alderman Road,†,†,28306,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,34.8952,-78.8603,NC-260-364,NC-260,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Prekindergarten,5th Grade,629,23,3,79,186,284,1,53,48.50,12.97
