school_name,rating,n_reviews,nces_name_plus_zipcode,state_name_public_school_latest_available_year,state_name_public_school_2020_21,state_abbr_public_school_latest_available_year,school_name_public_school_2020_21,school_id_nces_assigned_public_school_latest_available_year,agency_name_public_school_2020_21,agency_id_nces_assigned_public_school_latest_available_year,location_address_1_public_school_2020_21,location_address_2_public_school_2020_21,location_address_3_public_school_2020_21,location_zip_public_school_2020_21,school_type_public_school_2020_21,agency_type_district_2020_21,start_of_year_status_public_school_2020_21,updated_status_public_school_2020_21,effective_date_of_updated_status_public_school_2020_21,charter_school_public_school_2020_21,magnet_school_public_school_2020_21,locale_public_school_2020_21,school_wide_title_i_public_school_2020_21,title_i_eligible_school_public_school_2020_21,title_i_school_status_public_school_2020_21,latitude_public_school_2020_21,longitude_public_school_2020_21,state_school_id_public_school_2020_21,state_agency_id_public_school_2020_21,national_school_lunch_program_public_school_2020_21,virtual_school_status_sy_2016_17_onward_public_school_2020_21,charter_authorizer_state_id_primary_public_school_2020_21,school_level_sy_2017_18_onward_public_school_2020_21,lowest_grade_offered_public_school_2020_21,highest_grade_offered_public_school_2020_21,total_students_all_grades_excludes_ae_public_school_2020_21,american_indian_alaska_native_students_public_school_2020_21,asian_or_asian_pacific_islander_students_public_school_2020_21,hispanic_students_public_school_2020_21,black_or_african_american_students_public_school_2020_21,white_students_public_school_2020_21,nat_hawaiian_or_other_pacific_isl_students_public_school_2020_21,two_or_more_races_students_public_school_2020_21,full_time_equivalent_fte_teachers_public_school_2020_21,pupil_teacher_ratio_public_school_2020_21
EAST BLADEN HIGH,3.8,4,EAST BLADEN HIGH 28337,North Carolina,NORTH CAROLINA,NC,East Bladen High,370039000116,Bladen County Schools,3700390,5600 NC Hwy 87 East,†,†,28337,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,34.5788,-78.5312,NC-090-330,NC-090,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,555,11,2,64,264,190,"=""0""",24,38.91,14.26
EAST BURKE HIGH,2.8,17,EAST BURKE HIGH 28612,North Carolina,NORTH CAROLINA,NC,East Burke High,370048000174,Burke County Schools,3700480,3695 East Burke Boulevard,†,†,28612,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.7216,-81.4821,NC-120-314,NC-120,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,842,1,54,61,8,681,"=""0""",37,46.92,17.95
EAST BURKE MIDDLE,2.8,5,EAST BURKE MIDDLE 28612,North Carolina,NORTH CAROLINA,NC,East Burke Middle,370048002193,Burke County Schools,3700480,3519 Miller Bridge Road,†,†,28612,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.715394,-81.468094,NC-120-315,NC-120,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,651,"=""0""",59,54,7,499,1,31,36.35,17.91
EAST CARY MIDDLE,3.1,97,EAST CARY MIDDLE 27511,North Carolina,NORTH CAROLINA,NC,East Cary Middle,370472002830,Wake County Schools,3704720,1111 SE Maynard Road,†,†,27511,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.7792,-78.7658,NC-920-402,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,624,"=""0""",31,171,104,286,1,31,43.50,14.34
EAST CHAPEL HILL HIGH,3.9,34,EAST CHAPEL HILL HIGH 27514,North Carolina,NORTH CAROLINA,NC,East Chapel Hill High,370072001942,Chapel Hill-Carrboro City Schools,3700720,500 Weaver Dairy Rd,†,†,27514,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,35.961,-79.0297,NC-681-314,NC-681,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1540,2,291,176,172,773,"=""0""",126,90.19,17.08
EAST CLAYTON ELEMENTARY,4,8,EAST CLAYTON ELEMENTARY 27527,North Carolina,NORTH CAROLINA,NC,East Clayton Elementary,370237002322,Johnston County Public Schools,3702370,2075 NC Highway 42 East,†,†,27527,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,31-Town: Fringe,†,2-No,6-Not a Title I school,35.6491,-78.4023,NC-510-336,NC-510,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,625,6,4,123,146,294,"=""0""",52,40.00,15.63
EAST COLUMBUS JUNIOR-SENIOR HIGH,2.6,5,EAST COLUMBUS JUNIOR-SENIOR HIGH 28450,North Carolina,NORTH CAROLINA,NC,East Columbus Junior-Senior High,370096000145,Columbus County Schools,3700960,32 Gator Lane,†,†,28450,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,34.3359,-78.5016,NC-240-334,NC-240,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,7th Grade,12th Grade,630,109,"=""0""",109,192,186,1,33,39.65,15.89
EAST DAVIDSON HIGH,3.5,10,EAST DAVIDSON HIGH 27360,North Carolina,NORTH CAROLINA,NC,East Davidson High,370114000467,Davidson County Schools,3701140,1408 Lake Road,†,†,27360,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,35.8502,-80.1016,NC-290-324,NC-290,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,803,3,16,93,13,658,"=""0""",20,46.35,17.32
EAST DUPLIN HIGH,3.5,13,EAST DUPLIN HIGH 28518,North Carolina,NORTH CAROLINA,NC,East Duplin High,370120000497,Duplin County Schools,3701200,394 North NC Highway 111,†,†,28518,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,34.9407,-77.7843,NC-310-344,NC-310,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,861,2,"=""0""",314,88,446,"=""0""",11,51.87,16.60
EAST ELEMENTARY,3.8,16,EAST ELEMENTARY 28112,North Carolina,NORTH CAROLINA,NC,East Elementary,370462001300,Union County Public Schools,3704620,515 Elizabeth Ave,†,†,28112,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,34.9781,-80.5325,NC-900-306,NC-900,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,432,"=""0""",1,250,159,10,"=""0""",12,35.12,12.30
EAST ELEMENTARY,4.7,3,EAST ELEMENTARY 28086,North Carolina,NORTH CAROLINA,NC,East Elementary,370090002709,Cleveland County Schools,3700900,600 Cleveland Avenue,†,†,28086,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.2494,-81.3303,NC-230-334,NC-230,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,4th Grade,217,"=""0""","=""0""",13,63,121,"=""0""",20,17.30,12.54
EAST FORSYTH HIGH,4.6,18,EAST FORSYTH HIGH 27284,North Carolina,NORTH CAROLINA,NC,East Forsyth High,370150000600,Winston Salem / Forsyth County Schools,3701500,2500 W Mountain Street,†,†,27284,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,36.1166,-80.1504,NC-340-364,NC-340,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1669,1,17,392,377,796,"=""0""",86,103.05,16.20
EAST FORSYTH MIDDLE SCHOOL,2.6,19,EAST FORSYTH MIDDLE SCHOOL 27284,North Carolina,NORTH CAROLINA,NC,East Forsyth Middle School,370150002763,Winston Salem / Forsyth County Schools,3701500,810 Bagley Drive,†,†,27284,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,36.133531,-80.128687,NC-340-366,NC-340,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,771,"=""0""",6,315,291,123,"=""0""",36,47.60,16.20
EAST FRANKLIN ELEMENTARY,5,2,EAST FRANKLIN ELEMENTARY 28734,North Carolina,NORTH CAROLINA,NC,East Franklin Elementary,370276001137,Macon County Schools,3702760,100 Watauga St,†,†,28734,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.1894,-83.3714,NC-560-316,NC-560,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,4th Grade,336,4,3,91,"=""0""",226,"=""0""",12,29.00,11.59
EAST GARNER ELEMENTARY,4.3,14,EAST GARNER ELEMENTARY 27529,North Carolina,NORTH CAROLINA,NC,East Garner Elementary,370472002837,Wake County Schools,3704720,5545 Jones Sausage Road,†,†,27529,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.7077,-78.5867,NC-920-403,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,524,4,9,177,273,44,1,16,39.65,13.22
EAST GARNER MIDDLE,3.6,54,EAST GARNER MIDDLE 27529,North Carolina,NORTH CAROLINA,NC,East Garner Middle,370472001853,Wake County Schools,3704720,6301 Jones Sausage Rd,†,†,27529,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.7024,-78.5859,NC-920-404,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,1289,4,29,385,654,175,1,41,88.95,14.49
EAST GASTON HIGH,3,12,EAST GASTON HIGH 28120,North Carolina,NORTH CAROLINA,NC,East Gaston High,370162000681,Gaston County Schools,3701620,1744 Lane Road,†,†,28120,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,35.3154,-81.0756,NC-360-390,NC-360,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,885,1,8,75,90,681,"=""0""",30,50.23,17.62
EAST HENDERSON HIGH,4.4,8,EAST HENDERSON HIGH 28726,North Carolina,NORTH CAROLINA,NC,East Henderson High,370210000915,Henderson County Schools,3702100,150 Eagle Pride Drive,†,†,28726,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.297416,-82.423482,NC-450-316,NC-450,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,930,1,4,307,19,548,9,42,57.74,16.11
EAST HOKE MIDDLE,2.7,14,EAST HOKE MIDDLE 28376,North Carolina,NORTH CAROLINA,NC,East Hoke Middle,370225000974,Hoke County Schools,3702250,4702 Fayetteville Rd,†,†,28376,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.0064,-79.1711,NC-470-332,NC-470,Yes participating without using any Provision or the CEO,FACEVIRTUAL,†,Middle,6th Grade,8th Grade,762,15,11,196,318,156,5,61,47.48,16.05
EAST IREDELL ELEMENTARY,1.5,2,EAST IREDELL ELEMENTARY 28625,North Carolina,NORTH CAROLINA,NC,East Iredell Elementary,370231000985,Iredell-Statesville Schools,3702310,400 E Elementary Rd,†,†,28625,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.804,-80.8363,NC-490-326,NC-490,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,715,"=""0""",13,207,224,222,3,46,51.11,13.99
EAST IREDELL MIDDLE,3,7,EAST IREDELL MIDDLE 28625,North Carolina,NORTH CAROLINA,NC,East Iredell Middle,370231000807,Iredell-Statesville Schools,3702310,590 Chestnut Grove Road,†,†,28625,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.8368,-80.7901,NC-490-327,NC-490,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,413,"=""0""",13,106,127,134,2,31,29.53,13.99
EAST LEE MIDDLE,2.9,14,EAST LEE MIDDLE 27330,North Carolina,NORTH CAROLINA,NC,East Lee Middle,370256001076,Lee County Schools,3702560,1337 Broadway Rd,†,†,27330,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.4612,-79.1134,NC-530-314,NC-530,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,641,4,5,267,127,219,"=""0""",19,37.40,17.14
EAST LINCOLN HIGH,3.8,12,EAST LINCOLN HIGH 28037,North Carolina,NORTH CAROLINA,NC,East Lincoln High,370268001110,Lincoln County Schools,3702680,6471 Hwy 73,†,†,28037,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,35.4544,-81.0259,NC-550-320,NC-550,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,972,2,14,70,60,782,"=""0""",44,46.09,21.09
EAST LINCOLN MIDDLE,3.8,10,EAST LINCOLN MIDDLE 28080,North Carolina,NORTH CAROLINA,NC,East Lincoln Middle,370268001111,Lincoln County Schools,3702680,4137 Hwy 73,†,†,28080,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,35.4757,-81.0938,NC-550-322,NC-550,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,673,2,9,50,44,525,"=""0""",43,38.82,17.34
EAST MCDOWELL MIDDLE SCHOOL,4,5,EAST MCDOWELL MIDDLE SCHOOL 28752,North Carolina,NORTH CAROLINA,NC,East McDowell Middle School,370294001175,McDowell County Schools,3702940,676 State Street,†,†,28752,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.6871,-81.9961,NC-590-310,NC-590,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,532,1,13,100,28,358,"=""0""",32,40.32,13.19
EAST MECKLENBURG HIGH SCHOOL,4.2,193,EAST MECKLENBURG HIGH SCHOOL 28212,North Carolina,NORTH CAROLINA,NC,East Mecklenburg High School,370297001214,Charlotte-Mecklenburg Schools,3702970,6800 Monroe Rd,†,†,28212,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.176,-80.758,NC-600-377,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,2106,5,149,691,802,418,1,40,119.50,17.62
EAST MILLBROOK MIDDLE,3.1,46,EAST MILLBROOK MIDDLE 27616,North Carolina,NORTH CAROLINA,NC,East Millbrook Middle,370472001854,Wake County Schools,3704720,3801 Spring Forest Rd,†,†,27616,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.856386,-78.577642,NC-920-408,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,753,8,13,260,372,76,1,23,63.00,11.95
EAST MOORESVILLE INTERMEDIATE,4.3,7,EAST MOORESVILLE INTERMEDIATE 28115,North Carolina,NORTH CAROLINA,NC,East Mooresville Intermediate,370312002779,Mooresville Graded School District,3703120,1711 Landis Highway,†,†,28115,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.6005,-80.7735,NC-491-303,NC-491,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,4th Grade,6th Grade,603,5,10,75,117,338,"=""0""",58,29.77,20.26
EAST ROCKINGHAM ELEMENTARY,5,2,EAST ROCKINGHAM ELEMENTARY 28379,North Carolina,NORTH CAROLINA,NC,East Rockingham Elementary,370387003209,Richmond County Schools,3703870,154 Chalk Road,†,†,28379,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,34.8939,-79.751,NC-770-310,NC-770,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,481,19,2,78,148,203,1,30,31.00,15.52
EAST ROWAN HIGH,3,19,EAST ROWAN HIGH 28146,North Carolina,NORTH CAROLINA,NC,East Rowan High,370405001616,Rowan-Salisbury Schools,3704050,175 St Luke's Church Rd,†,†,28146,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.5935,-80.4231,NC-800-340,NC-800,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,979,1,10,98,80,757,2,31,56.52,17.32
EAST RUTHERFORD HIGH SCHOOL,5,2,EAST RUTHERFORD HIGH SCHOOL 28018,North Carolina,NORTH CAROLINA,NC,East Rutherford High School,370408001640,Rutherford County Schools,3704080,331 East High Rd,†,†,28018,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.340594,-81.818253,NC-810-340,NC-810,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,682,1,2,77,87,462,1,52,45.32,15.05
EAST RUTHERFORD MIDDLE SCHOOL,2.5,10,EAST RUTHERFORD MIDDLE SCHOOL 28018,North Carolina,NORTH CAROLINA,NC,East Rutherford Middle School,370408001648,Rutherford County Schools,3704080,259 East Church Street,†,†,28018,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.3614,-81.8307,NC-810-342,NC-810,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,584,1,2,62,92,392,1,34,33.30,17.54
EAST SURRY HIGH,5,4,EAST SURRY HIGH 27041,North Carolina,NORTH CAROLINA,NC,East Surry High,370441001748,Surry County Schools,3704410,801 W Main Street,†,†,27041,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.3929,-80.4771,NC-860-316,NC-860,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,564,1,3,63,16,468,"=""0""",13,34.89,16.17
EAST UNION MIDDLE,3.9,22,EAST UNION MIDDLE 28103,North Carolina,NORTH CAROLINA,NC,East Union Middle,370462001790,Union County Public Schools,3704620,6010 W Marshville Blvd,†,†,28103,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,34.9842,-80.3841,NC-900-308,NC-900,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,684,3,1,268,190,197,"=""0""",25,43.50,15.72
EAST WAKE ACADEMY,3.3,45,EAST WAKE ACADEMY 27597,North Carolina,NORTH CAROLINA,NC,East Wake Academy,370007002416,East Wake Academy,3700070,821 Charter School Way,†,†,27597,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.831971,-78.30658,NC-92G-000,NC-92G,No,NOTVIRTUAL,"=""01SBE""",Other,Kindergarten,12th Grade,1214,"=""0""",10,93,126,923,"=""0""",62,77.42,15.68
EAST WAKE HIGH,3.4,13,EAST WAKE HIGH 27591,North Carolina,NORTH CAROLINA,NC,East Wake High,370472001855,Wake County Schools,3704720,5101 Rolesville Rd,†,†,27591,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.81165,-78.423475,NC-920-411,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1382,3,22,462,522,317,"=""0""",56,88.74,15.57
EAST WILKES HIGH SCHOOL,3,1,EAST WILKES HIGH SCHOOL 28670,North Carolina,NORTH CAROLINA,NC,East Wilkes High School,370495001974,Wilkes County Schools,3704950,13315 Elkin Hwy 268,†,†,28670,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.2264,-80.9276,NC-970-320,NC-970,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,477,"=""0""","=""0""",41,11,414,"=""0""",11,32.39,14.73
EAST WILKES MIDDLE SCHOOL,5,6,EAST WILKES MIDDLE SCHOOL 28670,North Carolina,NORTH CAROLINA,NC,East Wilkes Middle School,370495002655,Wilkes County Schools,3704950,2202 Macedonia Church Road,†,†,28670,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.2469,-80.9322,NC-970-322,NC-970,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,391,2,"=""0""",21,7,350,"=""0""",11,25.75,15.18
EAST YANCEY MIDDLE,4,1,EAST YANCEY MIDDLE 28714,North Carolina,NORTH CAROLINA,NC,East Yancey Middle,370507002028,Yancey County Schools,3705070,285 Georges Fork Road,†,†,28714,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.9114,-82.258,NC-995-324,NC-995,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,275,"=""0""",1,57,1,213,"=""0""",3,18.88,14.57
EASTERN ALAMANCE HIGH,3.4,17,EASTERN ALAMANCE HIGH 27302,North Carolina,NORTH CAROLINA,NC,Eastern Alamance High,370003000006,Alamance-Burlington Schools,3700030,4040 Mebane Rogers,†,†,27302,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,36.1136,-79.3022,NC-010-324,NC-010,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1190,5,19,236,301,548,3,78,62.73,18.97
EASTERN ELEMENTARY,4.3,6,EASTERN ELEMENTARY 27858,North Carolina,NORTH CAROLINA,NC,Eastern Elementary,370001202138,Pitt County Schools,3700012,1700 Cedar Ln,†,†,27858,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,35.5965,-77.3432,NC-740-336,NC-740,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,728,"=""0""",17,76,337,244,1,53,47.60,15.29
EASTERN ELEMENTARY,4.1,7,EASTERN ELEMENTARY 27889,North Carolina,NORTH CAROLINA,NC,Eastern Elementary,370033001922,Beaufort County Schools,3700330,947 Hudnell Street,†,†,27889,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.5457,-77.0349,NC-070-302,NC-070,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,1st Grade,474,"=""0""",3,102,202,132,"=""0""",35,35.00,13.54
EASTERN GUILFORD HIGH,3.7,20,EASTERN GUILFORD HIGH 27249,North Carolina,NORTH CAROLINA,NC,Eastern Guilford High,370192000821,Guilford County Schools,3701920,415 Peeden Drive,†,†,27249,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,36.0925,-79.6161,NC-410-358,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1241,7,66,232,608,264,"=""0""",64,77.69,15.97
EASTERN GUILFORD MIDDLE,2.5,20,EASTERN GUILFORD MIDDLE 27249,North Carolina,NORTH CAROLINA,NC,Eastern Guilford Middle,370192000832,Guilford County Schools,3701920,435 Peeden Drive,†,†,27249,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,36.0925,-79.6161,NC-410-460,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,906,2,53,195,419,182,"=""0""",55,52.20,17.36
